commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
c6ab6ca	keep	baseline (n_estimators=30, max_depth=6, lr=0.1, enable_categorical=True)	0.7445	0.7479	0.7454	0.7155
cc94b1a	keep	n_estimators 30 -> 300	0.7548	0.7619	0.7552	0.7098
e4e6f68	keep	n_estimators 300 -> 1000, lr 0.1 -> 0.05	0.7607	0.7703	0.7621	0.7133
a84b896	keep	n_estimators 1000 -> 2000	0.7629	0.7745	0.7635	0.7107
6574d93	discard	subsample=0.8, colsample_bytree=0.8 (added regularization, but model is underfit -> hurt)	0.7490	N/A	N/A	N/A
0d12282	discard	max_depth 6 -> 8 (great AUC but total run 74s > 60s budget)	0.7686	N/A	N/A	N/A
6a2339a	keep	max_depth 8 + n_estimators 1000 (back off trees to stay in budget)	0.7665	0.7773	0.7663	0.7129
dc343ed	discard	max_depth 8 -> 10 (great AUC 0.7702 but total run 68s > 60s budget)	0.7702	N/A	N/A	N/A
6bb9b96	keep	max_depth 8 -> 10 + n_estimators 1000 -> 700 (fit budget)	0.7689	0.7769	0.7688	0.7119
bd3a663	keep	max_depth 10 -> 12, n_estimators 700 -> 500 (marginal +0.0010, near noise)	0.7699	0.7767	0.7703	0.7121
299791e	discard	FE: DepHour categorical (great +0.0077 but 76s, over budget)	0.7776	N/A	N/A	N/A
514122f	keep	FE: DepHour + n_estimators 500 -> 350 (in budget, +0.0052)	0.7751	0.7830	0.7753	0.7186
5723626	crash	FE: add Route (Origin+Dest) categorical (timeout >90s; high-cardinality blew up runtime)	0.0000	N/A	N/A	N/A
8299ce3	discard	max_cat_threshold 64 -> 256 (slight regression, slower)	0.7743	N/A	N/A	N/A
6ec7c6f	keep	depth 12 -> 10, n_estimators 350 -> 600 (with FE; std tighter, +0.0003)	0.7754	0.7851	0.7769	0.7188
bdd0bb5	discard	lr 0.05 -> 0.03 (model needs more "fit per step", not less)	0.7732	N/A	N/A	N/A
96e80f2	keep	min_child_weight 1 -> 5 (+0.0046, also faster: fewer tiny leaves)	0.7800	0.7885	0.7813	0.7174
db60de3	discard	n_estimators 600 -> 1000 (+0.0019 but 76s, over budget)	0.7819	N/A	N/A	N/A
afa185e	discard	n_estimators 600 -> 800 (+0.0012 but 62s, just over budget)	0.7812	N/A	N/A	N/A
b364f6a	keep	min_child_weight 5 -> 10 (+0.0003 + faster, frees budget)	0.7803	0.7881	0.7818	0.7174
896e218	keep	n_estimators 600 -> 800 (with mcw=10, +0.0006, 56s in budget)	0.7809	0.7893	0.7825	0.7159
774b1d4	keep	depth 10 -> 12, n_est 800 -> 500 (mcw=10 enables this; +0.0014, std tighter)	0.7823	0.7905	0.7840	0.7186
0fe4b48	keep	n_estimators 500 -> 600 (+0.0006, 57s in budget)	0.7829	0.7911	0.7845	0.7181
eddb268	discard	gamma 0 -> 0.5 (too aggressive, trees became sparse)	0.7799	N/A	N/A	N/A
ac5dbda	discard	FE: DepTime (HHMM) -> DepMinutes (uniform) — no change (hist method bins anyway)	0.7829	N/A	N/A	N/A
4164968	discard	gamma 0 -> 0.1 (slight regression)	0.7825	N/A	N/A	N/A
7876953	crash	grow_policy=lossguide + max_leaves=256 (timeout >90s)	0.0000	N/A	N/A	N/A
dd16d11	discard	lr 0.05 -> 0.07 (lr=0.05 confirmed sweet spot)	0.7818	N/A	N/A	N/A
2a667af	discard	min_child_weight 10 -> 20 (-0.0001, mcw=10 sweet spot)	0.7828	N/A	N/A	N/A
7235c1e	crash	manual CV with ES, n_est=3000, lr=0.02 (timeout — too many trees)	0.0000	N/A	N/A	N/A
0c9afd4	discard	manual CV with ES, n_est=1000, lr=0.04 (-0.0036; 10% inner val costs more than ES gains)	0.7793	N/A	N/A	N/A
544f528	discard	reg_lambda 1 -> 5	0.7813	N/A	N/A	N/A
b2b53c5	keep	colsample_bytree 1.0 -> 0.8 (alone, +0.0044, BIG win at depth=12/mcw=10)	0.7873	0.7967	0.7892	0.7207
0d9466d	discard	add subsample=0.8 on top of colsample (subsample still hurts)	0.7850	N/A	N/A	N/A
5ca7025	keep	colsample_bytree 0.8 -> 0.6 (+0.0034)	0.7907	0.8001	0.7924	0.7232
04a554d	discard	colsample_bytree 0.6 -> 0.4 (too aggressive)	0.7869	N/A	N/A	N/A
3f3176d	discard	colsample_bytree 0.6 -> 0.5 (within noise, slightly down)	0.7904	N/A	N/A	N/A
6a66da8	keep	n_estimators 600 -> 700 (+0.0001, in budget 55s)	0.7908	0.8005	0.7925	0.7219
ecc41db	discard	add colsample_bylevel=0.8 (-0.0008)	0.7900	N/A	N/A	N/A
a2dd1f9	discard	mcw 10 -> 5 (no AUC gain + over budget 66s)	0.7907	N/A	N/A	N/A
571e3dc	discard	add colsample_bynode=0.8	0.7903	N/A	N/A	N/A
fa0ca75	keep	depth 12->14, n_est 700->450 (+0.0003, fast: mcw+colsample keep trees small)	0.7911	0.8005	0.7929	0.7240
3c955b5	discard	n_est 450 -> 700 (+0.0013 but 66s, over budget)	0.7924	N/A	N/A	N/A
89c8db8	keep	n_est 450 -> 600 (+0.0012, 58s in budget)	0.7923	0.8024	0.7942	0.7233
ea2d41a	discard	mcw 10 -> 20 (mcw=10 still sweet)	0.7902	N/A	N/A	N/A
2e9b721	keep	depth 14->16, n_est 600->400 (+0.0001)	0.7924	0.8020	0.7944	0.7259
deb99da	keep	n_est 400 -> 550 (+0.0008, 58s)	0.7932	0.8033	0.7953	0.7246
ab4cf1b	discard	colsample_bytree 0.6 -> 0.7 (worse, 0.6 still right)	0.7917	N/A	N/A	N/A
952c783	discard	depth 16->18, n_est 550->400 (depth=16 sweet)	0.7926	N/A	N/A	N/A
a8aa4fe	discard	FE: add DayOfYear numeric (redundant with Month+DayofMonth)	0.7910	N/A	N/A	N/A
e86644c	discard	mcw 10 -> 8 (+0.0003 but 62s over budget)	0.7935	N/A	N/A	N/A
0c2488e	discard	mcw 10 -> 12 (mcw=10 sweet)	0.7930	N/A	N/A	N/A
d459a12	discard	drop DayofMonth (-0.0038, has real signal)	0.7894	N/A	N/A	N/A
84fa9f5	keep	FE: DepHour -> DepHalfHour (48 buckets) — BIG WIN +0.0090	0.8022	0.8130	0.8038	0.7299
b67d432	discard	FE: Dep15Min (96 buckets) — +0.0020 but 60.2s over budget	0.8042	N/A	N/A	N/A
558173d	keep	FE: Dep15Min + n_est 550 -> 500 (in budget, +0.0010)	0.8032	0.8155	0.8057	0.7313
ba1d3bd	discard	FE: Dep10Min (144 buckets, too granular)	0.8007	N/A	N/A	N/A
145cbc6	keep	n_est 500 -> 525 (with Dep15Min, in budget 58s)	0.8038	0.8162	0.8064	0.7312
78329ec	keep	FE: Dep15Min -> Dep20Min (72 buckets, 58s)	0.8047	0.8155	0.8066	0.7305
1136bd3	keep	lr 0.05 -> 0.04 (with Dep20Min, +0.0006, std tighter)	0.8053	0.8161	0.8065	0.7325
