commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
7d0b368	keep	baseline (n_estimators=30, max_depth=6, lr=0.1, native categorical)	0.7445	0.7479	0.7454	0.7155
f6ed2ec	keep	n_estimators 30 -> 300 (lr=0.1)	0.7548	0.7619	0.7552	0.7098
0f8e43e	keep	n_estimators 300 -> 1000, lr 0.1 -> 0.05	0.7607	0.7703	0.7621	0.7133
dc090da	keep	n_estimators 1000 -> 2000, lr 0.05 -> 0.03 (diminishing returns)	0.7626	0.7720	0.7637	0.7129
3a48f23	keep	add Hour categorical (DepTime // 100)	0.7728	0.7844	0.7742	0.7204
658a0d6	discard	add Route Origin_Dest categorical (TIMEOUT >90s, ~5000 cats too slow)	0.0000	N/A	N/A	N/A
7c84138	discard	add subsample=0.8 colsample_bytree=0.8 (hurts)	0.7643	N/A	N/A	N/A
3f80aa1	discard	drop DepTime numeric (Hour alone insufficient)	0.7596	N/A	N/A	N/A
c192ddd	discard	max_depth 6 -> 8 (TIMEOUT >90s)	0.0000	N/A	N/A	N/A
e7623ab	keep	min_child_weight 1 -> 5	0.7749	0.7844	0.7764	0.7200
81197d2	keep	min_child_weight 5 -> 20	0.7779	0.7860	0.7801	0.7187
6ea5004	keep	min_child_weight 20 -> 50	0.7792	0.7861	0.7803	0.7182
f970fb4	discard	min_child_weight 50 -> 100 (past peak)	0.7781	N/A	N/A	N/A
dddd06e	keep	max_depth 6 -> 7	0.7812	0.7885	0.7824	0.7170
afda806	discard	add gamma=1.0 (too aggressive)	0.7648	N/A	N/A	N/A
a0e2e6a	discard	reg_lambda 1 -> 5 (no help)	0.7808	N/A	N/A	N/A
56191d8	discard	subsample=0.9 (no help)	0.7804	N/A	N/A	N/A
31ebbd2	discard	add Hour_DOW interaction (hurts, XGB learns implicitly)	0.7711	N/A	N/A	N/A
9f4e08d	discard	max_cat_threshold 64 -> 16 (no help)	0.7810	N/A	N/A	N/A
