commit	CV_AUC	status	description
7d0b368	0.7445	keep	baseline (n_estimators=30, max_depth=6, lr=0.1)
74f86c5	0.7534	keep	n_estimators=200, lr=0.05
235c8ab	0.7556	keep	n_estimators=500, lr=0.03
72835a1	0.7573	keep	n_estimators=1000, lr=0.02
43b944b	0.7623	keep	max_depth=8
fec243b	0.7635	keep	subsample=0.8, colsample_bytree=0.8
5b860e0	0.7673	keep	add DepHour, DepMinute features
4be41a7	0.7482	discard	add Route=Origin_Dest categorical (overfit, slow)
89b6ba9	0.7750	keep	max_depth=10
9490159	0.7843	keep	min_child_weight=5
52e8665	0.7871	keep	min_child_weight=10
adc2a58	0.7875	keep	min_child_weight=20
5c15f06	0.7840	discard	min_child_weight=50 (too regularized)
2a06041	0.7899	keep	max_depth=12
1510f8b	0.7903	keep	max_depth=14
05d0a8d	0.7928	keep	cyclical encoding for DepHour (sin/cos)
a2b76e3	0.7919	discard	cyclical encoding for Month, DayOfWeek (redundant w/ cat)
d496c51	0.7914	discard	add IsWeekend, IsRedeye binaries (redundant w/ existing)
27a52b4	0.7927	discard	gamma=1 (no effect)
9385d86	0.7934	keep	max_bin=512
9dffe08	0.7936	discard	max_bin=1024 (gain ~ noise; keep simpler)
934524b	0.7872	discard	grow_policy=lossguide max_leaves=128
36885e9	0.7938	discard	add Carrier_Origin (over 60s budget)
8ca9f4e	0.7927	discard	depth=12 + n=1300 + lr=0.015
51f218b	0.7816	discard	HourDOW interaction (hurts)
585f562	0.7925	discard	reg_lambda=5
d3e9d53	0.7977	keep	max_cat_to_onehot=32 (one-hot low-card cats)
1ed04ee	0.7840	discard	max_cat_to_onehot=350 (Origin/Dest one-hot hurts)
3864acd	0.8002	keep	max_depth=16
1b60376	0.8017	keep	max_depth=18
cc0f5ef	0.8026	keep	max_depth=20
2ba4790	0.8035	keep	max_depth=24
4d77e18	0.8040	keep	max_depth=32
4d0ef90	0.8121	discard	mcw=10 (over budget 73.6s but +0.0081)
43f0c2c	0.8105	discard	mcw=10 + n=800 (over budget 61s)
281df97	0.8062	discard	mcw=10 + subsample=0.6 (over budget 63s)
078b95a	0.8092	keep	mcw=10 + n=700
6d20777	0.8141	discard	mcw=5 + n=600 (over budget 68s)
95a5464	0.8126	keep	mcw=5 + n=500
e18ee45	0.8139	discard	mcw=3 + n=400 (over budget 66s)
5cbc182	0.8026	discard	subsample=0.5 (too aggressive)
9ff1b1b	0.8134	discard	depth=24 + mcw=5 + n=600 (over budget 62.9s)
46e415e	0.8043	discard	remove DepTime
4866e9c	0.8127	discard	max_cat_threshold=256 (over budget 66.7s)
efea4c2	0.8116	discard	max_bin=256 (-0.001 alone)
067f44c	0.8124	discard	max_bin=256 + n=550
2f8be9d	0.8114	discard	colsample_bynode=0.8
2bd2911	0.8150	discard	depth=24 + mcw=3 + n=500 (over budget 69.5s)
65e5d80	0.8130	keep	depth=24 + mcw=3 + n=400
34e104b	0.8247	discard	add CarrierHour interaction (over budget 76s)
16e83e2	0.8212	discard	+CarrierHour, n=300 (60.4s slightly over)
423a9a5	0.8185	keep	+CarrierHour, n=250
c5ca493	0.8203	keep	+CarrierHour, n=280
5ab2073	0.7935	discard	+CarrierMonth, n=200 (big regression)
5753050	0.7940	discard	+HourMonth, n=240 (big regression)
0ec3d9c	0.8205	discard	mcw=2 + n=240 (over budget 64s)
8e52c33	0.8245	keep	lr=0.03
d561952	0.8262	keep	lr=0.05
0ee22d1	0.8257	discard	lr=0.08 (slight reg)
c27f6e6	0.8277	keep	n=350
59ee415	0.8279	keep	n=380
cc2175c	0.8278	discard	lr=0.06 (flat)
abbc36b	0.8284	discard	mcw=2 + n=320 (over budget 61s)
ed730f3	0.8281	keep	mcw=2 + n=300
4cfa775	0.8279	discard	+DistBand (over budget 60.3s, no gain)
a57d904	0.8275	discard	remove DepHour_sin/cos
f5ac6d2	0.8107	discard	remove DepMinute (huge regression)
e7e637c	0.7996	discard	+CarrierDOW, n=240 (regression)
e5e1ba8	0.8140	discard	OriginHour replace (over budget, high-card)
769f79e	0.8275	discard	max_delta_step=1
f539a45	0.8275	discard	mcw=2 n=320 max_bin=256
c7d578d	0.8264	discard	mcw=1 n=240 (over budget 70.6s)
b204d78	0.8293	discard	colsample_bytree=1.0 (over budget 66.8s)
7422131	0.8284	discard	cs=1.0 n=260 (over budget 62.1s)
c61722c	0.8280	discard	cs=1.0 n=240 (flat)
f143b25	0.8273	discard	depth=20 + n=340
3bf68b9	0.8252	discard	num_parallel_tree=2 n=150 (over budget 79s)
4cc5b84	0.8273	discard	cs=0.9 n=280 max_bin=256
92413f2	0.8281	discard	+DepMin (over budget 65s, flat)
840930b	0.8263	discard	mcw=4 n=380
2218b0e	0.8284	discard	random_state=0 (60.1s, noise)
a456784	0.0000	crash	gradient_based sampling (GPU only)
8755fa5	0.8259	discard	subsample=0.7
ec11548	0.8259	discard	+CarrierDistBand n=240
06ff1f1	0.8008	discard	shallow d=8 n=1300 (regime fails)
13f8458	0.8279	discard	cs=0.85 n=290
1f3f1ff	0.8276	discard	mcw=2.5
df45363	0.8267	discard	lr=0.06 n=280
4f4a33a	0.8004	discard	remove max_cat_to_onehot
6a398bc	0.8279	discard	depth=22 n=320 (60.4s over)
aab9f8d	0.7833	discard	HourDOW replace CarrierHour
4f48cb9	0.8283	keep	subsample=1.0 n=240
71bb8a9	0.8285	keep	n=250
4b02c2c	0.8286	keep	n=255
fce7651	0.8287	keep	lr=0.06
