commit	status	description	cv_auc	test_auc_2005s2_full	test_auc_2005s2_4_5	test_auc_2006_full
0841565	keep	baseline	0.7445	0.7479	0.7454	0.7155
2fc7171	keep	n_estimators 30 -> 300	0.7548	0.7619	0.7552	0.7098
cb1a41e	keep	n_estimators 300 -> 1000	0.7583	0.7684	0.7591	0.7059
5ff3bf0	keep	max_depth 6 -> 10	0.7693	0.7780	0.7694	0.7058
37ba671	keep	learning_rate 0.1 -> 0.05	0.7702	0.7782	0.7700	0.7108
8551218	discard	add Hour = DepTime // 100 (redundant with DepTime)	0.7699	N/A	N/A	N/A
2f417c5	discard	add Route = Origin_Dest (overfit + 98s timeout)	0.7451	N/A	N/A	N/A
f453d36	discard	subsample=0.5 (under-trained at our lr/depth regime)	0.7484	N/A	N/A	N/A
1d77ee2	crash	max_depth 10 -> 12 (timeout >70s at n=1000)	0.0000	N/A	N/A	N/A
75a453d	keep	colsample_bytree=0.8	0.7799	0.7897	0.7805	0.7156
d64d813	keep	colsample_bytree 0.8 -> 0.7	0.7836	0.7941	0.7845	0.7168
ff13c24	keep	colsample_bytree 0.7 -> 0.6	0.7841	0.7934	0.7851	0.7138
928f537	discard	colsample_bytree 0.6 -> 0.5 (no change, plateau)	0.7841	N/A	N/A	N/A
e0e835a	crash	n_estimators 1000 -> 1500 (timeout >70s)	0.0000	N/A	N/A	N/A
95515ca	keep	max_depth 10 -> 11	0.7879	0.7968	0.7881	0.7150
f36c29d	keep	add min_child_weight=5	0.7885	0.7984	0.7902	0.7142
c88ddd5	keep	max_depth 11 -> 12	0.7905	0.8007	0.7917	0.7158
bd0e941	crash	max_depth 12 -> 13 (timeout)	0.0000	N/A	N/A	N/A
cd34e70	discard	add gamma=1 (too aggressive, trees stunted; CV time 10.8s)	0.7895	N/A	N/A	N/A
c27c652	keep	add gamma=0.3 (also halves CV time)	0.7907	0.8008	0.7926	0.7204
271beef	discard	n_estimators 1500 (no help; gamma converges trees before 1000)	0.7907	N/A	N/A	N/A
b98aba3	keep	add max_bin=512	0.7923	0.8021	0.7940	0.7222
47d30d7	keep	max_bin 512 -> 1024	0.7927	0.8014	0.7936	0.7219
04a0faa	discard	max_bin 1024 -> 2048	0.7922	N/A	N/A	N/A
0915419	keep	max_depth 12 -> 13	0.7946	0.8049	0.7966	0.7233
c747f4b	keep	max_depth 13 -> 14	0.7966	0.8068	0.7979	0.7238
910489e	keep	max_depth 14 -> 15	0.7979	0.8079	0.7995	0.7240
87af334	keep	max_depth 15 -> 16	0.7988	0.8096	0.8003	0.7263
2d429c8	keep	max_depth 16 -> 20	0.8007	0.8131	0.8025	0.7278
4d3aa07	keep	max_depth -> 0 (unlimited; gamma/mcw bound growth)	0.8016	0.8138	0.8035	0.7285
ad32f2c	discard	n_estimators 1000 -> 1500 (no help, trees converged)	0.8016	N/A	N/A	N/A
c3a6bad	discard	gamma 0.3 -> 0.2	0.8011	N/A	N/A	N/A
4635872	keep	min_child_weight 5 -> 3	0.8045	0.8166	0.8056	0.7308
d8661f3	keep	drop min_child_weight (default 1 is best)	0.8068	0.8200	0.8077	0.7340
6485bf1	discard	add colsample_bynode=0.7 (over-reg with bytree=0.6)	0.7945	N/A	N/A	N/A
b1c893c	crash	colsample_bytree 0.6 -> 0.7 (timeout)	0.0000	N/A	N/A	N/A
2e1ff90	crash	add subsample=0.9 (timeout)	0.0000	N/A	N/A	N/A
be606e9	crash	learning_rate 0.05 -> 0.04 (timeout)	0.0000	N/A	N/A	N/A
aef88db	discard	learning_rate 0.05 -> 0.06	0.8061	N/A	N/A	N/A
53ac3fb	crash	add DepTime sin/cos (timeout, blows budget)	0.0000	N/A	N/A	N/A
5d3e14f	discard	target encoding Origin/Dest (-0.014, also 80s total over budget)	0.7928	N/A	N/A	N/A
e47da9a	crash	n_est=800 + DepTime sin/cos (timeout)	0.0000	N/A	N/A	N/A
cf696af	discard	early stopping (10% inner val cost > gain)	0.8020	N/A	N/A	N/A
d910675	keep	gamma 0.3 -> 0.35	0.8072	0.8197	0.8074	0.7342
c07b43d	discard	gamma 0.35 -> 0.4	0.8060	N/A	N/A	N/A
1b48845	crash	lr 0.05 -> 0.045 (timeout)	0.0000	N/A	N/A	N/A
122c075	crash	add subsample=0.95 (timeout)	0.0000	N/A	N/A	N/A
f827424	discard	n_estimators 1000 -> 800 (identical AUC, no help)	0.8072	N/A	N/A	N/A
a7984ab	discard	random_state 42 -> 7 (seed sensitivity finding)	0.7985	N/A	N/A	N/A
998613d	crash	grow_policy=lossguide (timeout)	0.0000	N/A	N/A	N/A
a0d1fb5	discard	max_bin 1024 -> 768	0.8064	N/A	N/A	N/A
670ccff	discard	add reg_alpha=0.1	0.8053	N/A	N/A	N/A
2953b46	discard	reg_lambda 1 -> 2	0.8037	N/A	N/A	N/A
