commit	CV_AUC	status	description
7d0b368	0.0000	crash	baseline run blocked: missing pandas
7d0b368	0.7445	keep	baseline with .venv
7d0b368	0.7494	keep	more trees, lower lr, subsample, colsample, stronger regularization
7d0b368	0.7495	keep	add cyclical encodings for Month, DayOfWeek, and DepTime
7d0b368	0.7555	keep	native xgb.train with fold-specific early stopping
7d0b368	0.7685	keep	lossguide growth with max_leaves=64
7d0b368	0.7692	keep	drop raw DepTime and keep cyclic time features
7d0b368	0.7690	discard	drop raw Month and DayOfWeek categories
7d0b368	0.7819	keep	raise max_cat_to_onehot to 32 with lossguide
7d0b368	0.7781	discard	reduce max_leaves to 48
7d0b368	0.7819	discard	raise max_cat_to_onehot to 64
7d0b368	0.7812	discard	raise max_cat_threshold to 128
7d0b368	0.7816	discard	add colsample_bynode=0.8
7d0b368	0.7793	discard	lower min_child_weight to 3
7d0b368	0.0000	crash	add route and carrier-route feature interactions (timed out)
7d0b368	0.7801	discard	faster boosting schedule with higher eta and fewer rounds
7d0b368	0.7810	discard	middle-ground boosting schedule with eta=0.04
7d0b368	0.7465	discard	interaction constraints separating time and location features
7d0b368	0.7827	keep	increase max_bin to 512
7d0b368	0.7834	keep	increase max_bin to 1024
7d0b368	0.7834	discard	increase max_bin to 2048
7d0b368	0.0000	crash	increase max_leaves to 96 (timed out)
7d0b368	0.7873	keep	increase max_leaves to 80
7d0b368	0.0000	crash	increase max_leaves to 88 (timed out)
7d0b368	0.0000	crash	increase max_leaves to 84 (timed out)
7d0b368	0.7873	discard	raise max_cat_to_onehot to 48
7d0b368	0.7873	discard	raise gamma to 0.2
7d0b368	0.7869	discard	increase subsample and colsample_bytree to 0.9
7d0b368	0.7861	discard	increase subsample and colsample_bytree to 0.85
7d0b368	0.7874	keep	lower lambda to 1.0 and alpha to 0.0
7d0b368	0.7873	discard	lower lambda to 0.5
7d0b368	0.7855	discard	lower min_child_weight to 4
7d0b368	0.7870	discard	set eta to 0.035 with shorter boosting schedule
7d0b368	0.7873	discard	set eta to 0.032 with a slightly shorter boosting schedule
7d0b368	0.7873	discard	set alpha to 0.02
7d0b368	0.7874	discard	drop gamma to 0.0
7d0b368	0.7878	keep	increase max_leaves to 82
7d0b368	0.7877	discard	increase max_leaves to 83
7d0b368	0.7874	discard	increase max_bin to 1536
7d0b368	0.0000	crash	try DART booster regularization (timed out)
7d0b368	0.7877	discard	switch to depthwise max_depth=8
7d0b368	0.7926	keep	switch to depthwise max_depth=9
7d0b368	0.7955	keep	switch to depthwise max_depth=10
7d0b368	0.7987	keep	switch to depthwise max_depth=11
7d0b368	0.0000	crash	switch to depthwise max_depth=12 (timed out)
7d0b368	0.7978	keep	depthwise max_depth=12 with shorter boosting schedule
7d0b368	0.7999	keep	depthwise max_depth=13 with shorter boosting schedule
7d0b368	0.8002	keep	depthwise max_depth=14 with shorter boosting schedule
7d0b368	0.8025	keep	depthwise max_depth=15 with shorter boosting schedule
7d0b368	0.8027	keep	depthwise max_depth=16 with shorter boosting schedule
7d0b368	0.8034	keep	depthwise max_depth=17 with shorter boosting schedule
7d0b368	0.8041	keep	depthwise max_depth=18 with shorter boosting schedule
7d0b368	0.8041	discard	depthwise max_depth=19 with shorter boosting schedule
7d0b368	0.8039	discard	depthwise max_depth=20 with shorter boosting schedule
7d0b368	0.0000	crash	depthwise max_depth=18 with eta=0.028 timed out
7d0b368	0.8037	discard	depthwise max_depth=18 with max_bin=2048
7d0b368	0.8038	discard	depthwise max_depth=18 with gamma=0.0
7d0b368	0.8042	keep	depthwise max_depth=18 with longer boosting schedule
7d0b368	0.0000	crash	depthwise max_depth=18 with num_boost_round=1800 timed out
7d0b368	0.8042	discard	depthwise max_depth=18 with num_boost_round=1600
7d0b368	0.8038	discard	depthwise max_depth=18 with gamma=0.05
7d0b368	0.0000	crash	depthwise max_depth=19 with longer boosting schedule timed out
7d0b368	0.0000	crash	depthwise max_depth=18 with min_child_weight=6 timed out
7d0b368	0.8035	discard	depthwise max_depth=18 with min_child_weight=6 and shorter schedule
7d0b368	0.0000	crash	depthwise max_depth=18 with lambda=1.5 timed out
7d0b368	0.8031	discard	depthwise max_depth=18 with lambda=1.5 and shorter schedule
